Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,YrSold,SalePrice
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,7,5,2003,2003,CompShg,VinylSd,VinylSd,Gd,TA,No,GLQ,706,Unf,0,150,856,Y,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,0,2008,208500
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Feedr,1Fam,1Story,6,8,1976,1976,CompShg,MetalSd,MetalSd,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Y,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,2007,181500
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,7,5,2001,2002,CompShg,VinylSd,VinylSd,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Y,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,2008,223500
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,7,5,1915,1970,CompShg,Wd Sdng,Wd Shng,TA,Gd,No,ALQ,216,Unf,0,540,756,Y,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,2006,140000
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Norm,1Fam,2Story,8,5,2000,2000,CompShg,VinylSd,VinylSd,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Y,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,2008,250000
6,50,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,5,5,1993,1995,CompShg,VinylSd,VinylSd,Gd,TA,No,GLQ,732,Unf,0,64,796,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,40,2009,143000
7,20,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Y,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,2007,307000
8,60,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,PosN,1Fam,2Story,7,6,1973,1973,CompShg,HdBoard,HdBoard,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Y,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,2009,200000
9,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Artery,1Fam,1.5Fin,7,5,1931,1950,CompShg,BrkFace,Wd Shng,TA,TA,No,Unf,0,Unf,0,952,952,Y,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,90,2008,129900
10,190,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Artery,2fmCon,1.5Unf,5,6,1939,1950,CompShg,MetalSd,MetalSd,TA,TA,No,GLQ,851,Unf,0,140,991,Y,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,2008,118000
